id,housing_id,room_name,occupancy_type,area,deposit,monthly_rent,management_fee,floor_number,room_number,capacity,available_date,is_available,created_at
1,1,101호,기타,28.49m²,50000000.0,320000.0,0.0,1,1,1,,1,2025-08-16 14:37:57
2,1,201호,기타,80.02m²,50000000.0,1230000.0,0.0,2,1,5,,1,2025-08-16 14:37:57
3,1,202호,기타,24.03m²,50000000.0,320000.0,0.0,2,2,1,,1,2025-08-16 14:37:57
4,1,301호,기타,80.36m²,50000000.0,1260000.0,0.0,3,1,5,,1,2025-08-16 14:37:57
5,1,302호,기타,35.41m²,50000000.0,490000.0,0.0,3,2,2,,1,2025-08-16 14:37:57
6,1,근생,기타,31.83m²,50000000.0,570000.0,0.0,1,1,0,,1,2025-08-16 14:37:57
